merchant_id,product_id,product_name,description,category,unit_price_cents,currency
invu_merch_001,prod_kk_001,Original Glazed Dozen,12 classic Krispy Kreme glazed doughnuts,doughnuts,1299,USD
invu_merch_001,prod_kk_002,Chocolate Iced Glazed,Single chocolate iced doughnut,doughnuts,179,USD
invu_merch_001,prod_kk_003,Assorted Dozen,12 mixed variety doughnuts,doughnuts,1499,USD
invu_merch_001,prod_kk_004,Iced Latte,Large iced coffee latte,beverages,450,USD
invu_merch_001,prod_kk_005,Doughnut Holes (24 ct),Bag of 24 glazed doughnut holes,doughnuts,599,USD
invu_merch_002,prod_cev_001,Ceviche Clásico,Fresh corvina ceviche with lime and cilantro,seafood,1450,USD
invu_merch_002,prod_cev_002,Ceviche Mixto,Mixed seafood ceviche — shrimp octopus corvina,seafood,1750,USD
invu_merch_002,prod_cev_003,Arroz con Mariscos,Seafood rice with prawns and calamari,mains,1650,USD
invu_merch_002,prod_cev_004,Patacones con Pulpo,Fried plantains with grilled octopus,appetizers,1250,USD
invu_merch_002,prod_cev_005,Limonada de Coco,Fresh coconut lemonade,beverages,550,USD
invu_merch_002,prod_cev_006,Tres Leches,Three-milk cake slice,desserts,850,USD
invu_merch_003,prod_cu_001,Geisha Pourover,Single-origin Geisha coffee — Boquete,coffee,950,USD
invu_merch_003,prod_cu_002,Cappuccino,Double shot cappuccino with steamed milk,coffee,525,USD
invu_merch_003,prod_cu_003,Cold Brew,16oz cold brew — house blend,coffee,575,USD
invu_merch_003,prod_cu_004,Croissant de Almendra,Almond croissant,pastry,425,USD
invu_merch_003,prod_cu_005,Empanada de Carne,Beef empanada — baked,pastry,375,USD
invu_merch_004,prod_mai_001,Tasting Menu (7 courses),Chef's tasting menu — seasonal Panamanian ingredients,tasting,8500,USD
invu_merch_004,prod_mai_002,Pulpo a la Parrilla,Grilled octopus with ají amarillo,starters,2200,USD
invu_merch_004,prod_mai_003,Corvina en Coco,Coconut-braised corvina with plantain purée,mains,2800,USD
invu_merch_004,prod_mai_004,Ropa Vieja,Shredded beef — Maito-style,mains,2400,USD
invu_merch_004,prod_mai_005,Cacao & Maracuyá,Chocolate and passion fruit dessert,desserts,1600,USD
invu_merch_004,prod_mai_006,Wine Pairing (7 courses),Sommelier wine pairing for tasting menu,beverages,4500,USD
invu_merch_005,prod_trap_001,Sancocho Panameño,Traditional Panamanian chicken soup,soups,1050,USD
invu_merch_005,prod_trap_002,Arroz con Pollo,Chicken rice — Panamanian style,mains,1150,USD
invu_merch_005,prod_trap_003,Carimañola,Yuca fritter stuffed with ground beef,appetizers,350,USD
invu_merch_005,prod_trap_004,Hojaldre,Panamanian fried bread,sides,250,USD
invu_merch_005,prod_trap_005,Tamal de Olla,Panamanian tamale in broth,mains,1250,USD
invu_merch_005,prod_trap_006,Chicheme,Traditional corn and milk drink,beverages,450,USD
invu_merch_005,prod_trap_007,Jugo de Caña,Fresh sugarcane juice,beverages,350,USD
invu_merch_006,prod_cj_001,Casco Old Fashioned,Rum-based old fashioned with Panamanian cacao,cocktails,1400,USD
